,x,y
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.008,0.0
14,0.029,0.0
15,0.101,0.0
16,0.278,0.0
17,0.534,-0.0
18,0.865,0.001
19,1.251,0.006
20,1.638,0.001
21,2.029,-0.008
22,2.414,-0.018
23,2.802,-0.022
24,3.209,-0.025
25,3.595,-0.031
26,3.99,-0.032
27,4.385,-0.033
28,4.779,-0.035
29,5.181,-0.056
30,5.565,-0.102
31,5.95,-0.152
32,6.343,-0.196
33,6.734,-0.242
34,7.141,-0.278
35,7.486,-0.281
36,7.886,-0.283
37,8.285,-0.292
38,8.681,-0.297
39,9.073,-0.3
40,9.472,-0.307
41,9.855,-0.323
42,10.254,-0.35
43,10.63,-0.369
44,11.031,-0.387
45,11.428,-0.392
46,11.81,-0.388
47,12.209,-0.389
48,12.6,-0.39
49,12.982,-0.388
50,13.38,-0.398
51,13.765,-0.427
52,14.158,-0.481
53,14.535,-0.607
54,14.868,-0.781
55,15.201,-1.002
56,15.521,-1.235
57,15.817,-1.51
58,16.071,-1.816
59,16.291,-2.148
60,16.485,-2.492
61,16.657,-2.848
62,16.797,-3.227
63,16.907,-3.616
64,16.989,-4.008
65,17.058,-4.396
66,17.108,-4.796
67,17.142,-5.196
68,17.163,-5.598
69,17.173,-5.992
70,17.176,-6.395
71,17.177,-6.797
72,17.181,-7.188
73,17.158,-7.582
74,17.138,-7.975
75,17.123,-8.374
76,17.117,-8.758
77,17.122,-9.141
78,17.126,-9.541
79,17.13,-9.907
80,17.139,-10.296
81,17.138,-10.694
82,17.122,-11.093
83,17.09,-11.466
84,17.058,-11.845
85,17.029,-12.241
86,17.008,-12.632
87,17.004,-13.015
88,17.009,-13.415
89,17.025,-13.814
90,17.048,-14.204
91,17.081,-14.602
92,17.109,-14.984
93,17.125,-15.372
94,17.122,-15.77
95,17.114,-16.15
96,17.11,-16.529
97,17.078,-16.898
98,17.021,-17.271
99,16.955,-17.658
100,16.874,-18.043
101,16.78,-18.424
102,16.679,-18.795
103,16.531,-19.148
104,16.329,-19.481
105,16.085,-19.782
106,15.798,-20.045
107,15.474,-20.256
108,15.152,-20.436
109,14.807,-20.572
110,14.445,-20.653
111,14.072,-20.727
112,13.692,-20.76
113,13.308,-20.747
114,12.932,-20.717
115,12.555,-20.682
116,12.172,-20.634
117,11.789,-20.581
118,11.405,-20.542
119,11.024,-20.516
120,10.635,-20.493
121,10.253,-20.467
122,9.871,-20.439
123,9.489,-20.403
124,9.107,-20.363
125,8.717,-20.324
126,8.328,-20.301
127,7.947,-20.283
128,7.56,-20.264
129,7.183,-20.256
130,6.786,-20.246
131,6.4,-20.23
132,6.012,-20.214
133,5.625,-20.208
134,5.236,-20.202
135,4.846,-20.201
136,4.472,-20.194
137,4.084,-20.189
138,3.706,-20.178
139,3.312,-20.163
140,2.919,-20.145
141,2.525,-20.122
142,2.146,-20.102
143,1.75,-20.079
144,1.356,-20.059
145,0.989,-20.041
146,0.601,-20.024
147,0.214,-20.006
148,-0.174,-19.988
149,-0.552,-19.97
150,-0.944,-19.953
151,-1.336,-19.936
152,-1.729,-19.91
153,-2.114,-19.886
154,-2.505,-19.853
155,-2.866,-19.817
156,-3.26,-19.758
157,-3.648,-19.694
158,-4.023,-19.635
159,-4.411,-19.569
160,-4.795,-19.522
161,-5.178,-19.489
162,-5.561,-19.474
163,-5.952,-19.455
164,-6.343,-19.412
165,-6.71,-19.358
166,-7.091,-19.301
167,-7.487,-19.236
168,-7.867,-19.168
169,-8.252,-19.085
170,-8.628,-18.993
171,-9.006,-18.88
172,-9.374,-18.761
173,-9.746,-18.633
174,-10.114,-18.492
175,-10.478,-18.34
176,-10.835,-18.17
177,-11.178,-17.971
178,-11.491,-17.768
179,-11.808,-17.536
180,-12.086,-17.283
181,-12.333,-16.978
182,-12.531,-16.644
183,-12.692,-16.273
184,-12.8,-15.887
185,-12.867,-15.498
186,-12.918,-15.12
187,-12.965,-14.717
188,-13.006,-14.316
189,-13.035,-13.921
190,-13.042,-13.519
191,-13.038,-13.144
192,-13.028,-12.74
193,-13.006,-12.347
194,-12.984,-11.959
195,-12.983,-11.567
196,-12.975,-11.165
197,-12.972,-10.776
198,-12.972,-10.381
199,-12.971,-9.996
200,-12.97,-9.599
201,-12.96,-9.214
202,-12.904,-8.829
203,-12.839,-8.44
204,-12.771,-8.053
205,-12.701,-7.69
206,-12.606,-7.308
207,-12.487,-6.932
208,-12.348,-6.559
209,-12.197,-6.194
210,-12.038,-5.837
211,-11.873,-5.489
212,-11.7,-5.137
213,-11.518,-4.791
214,-11.312,-4.456
215,-11.085,-4.139
216,-10.849,-3.84
217,-10.603,-3.552
218,-10.336,-3.267
219,-10.057,-2.987
220,-9.771,-2.728
221,-9.47,-2.469
222,-9.167,-2.227
223,-8.863,-2.002
224,-8.54,-1.79
225,-8.198,-1.587
226,-7.865,-1.393
227,-7.519,-1.199
228,-7.173,-1.018
229,-6.811,-0.852
230,-6.457,-0.729
231,-6.077,-0.612
232,-5.694,-0.5
233,-5.312,-0.393
234,-4.928,-0.284
235,-4.548,-0.19
236,-4.157,-0.113
237,-3.759,-0.052
238,-3.367,0.004
239,-2.968,0.065
240,-2.571,0.123
241,-2.181,0.161
242,-1.8,0.186
243,-1.405,0.207
244,-1.016,0.219
245,-0.619,0.228
246,-0.214,0.232
247,0.17,0.222
248,0.576,0.206
249,0.977,0.189
250,1.373,0.174
251,1.686,0.161
252,1.95,0.148
253,2.203,0.138
254,2.47,0.13
255,2.72,0.13
256,2.936,0.129
257,3.097,0.129
258,3.139,0.129
259,3.148,0.129
260,3.156,0.129
261,3.155,0.129
262,-13.221,-13.038
263,-13.221,-13.038
264,-13.221,-13.038
265,-13.221,-13.038
266,-13.221,-13.038
267,-13.221,-13.038
268,-13.221,-13.038
269,-13.221,-13.038
270,-13.221,-13.038
271,-13.221,-13.038
272,-13.221,-13.038
273,-13.221,-13.038
274,-13.221,-13.038
275,-13.221,-13.038
276,-13.221,-13.038
277,-13.221,-13.038
278,-13.221,-13.038
279,-13.221,-13.038
280,-13.221,-13.038
281,-13.221,-13.038
282,-13.221,-13.038
283,-13.221,-13.055
284,-13.224,-13.127
285,-13.225,-13.22
286,-13.227,-13.349
287,-13.23,-13.489
288,-13.229,-13.662
289,-13.211,-13.922
290,-13.186,-14.292
291,-13.151,-14.683
292,-13.117,-15.073
293,-13.083,-15.465
294,-13.072,-15.836
295,-13.092,-16.234
296,-13.118,-16.616
297,-13.142,-17.005
298,-13.167,-17.395
299,-13.182,-17.785
300,-13.189,-18.176
301,-13.196,-18.569
302,-13.197,-18.951
303,-13.195,-19.343
304,-13.194,-19.735
305,-13.191,-20.126
306,-13.188,-20.515
307,-13.187,-20.906
308,-13.186,-21.296
309,-13.185,-21.687
310,-13.182,-22.077
311,-13.179,-22.444
312,-13.193,-22.833
313,-13.211,-23.225
314,-13.22,-23.615
315,-13.223,-24.004
316,-13.215,-24.399
317,-13.199,-24.785
318,-13.179,-25.188
319,-13.152,-25.579
320,-13.122,-25.964
321,-13.092,-26.365
322,-13.062,-26.749
323,-13.052,-27.143
324,-13.047,-27.539
325,-13.04,-27.935
326,-13.036,-28.332
327,-13.042,-28.728
328,-13.052,-29.122
329,-13.06,-29.52
330,-13.066,-29.9
331,-13.074,-30.303
332,-13.072,-30.698
333,-13.064,-31.094
334,-13.055,-31.492
335,-13.044,-31.888
336,-13.037,-32.276
337,-13.027,-32.673
338,-13.019,-33.061
339,-13.015,-33.458
340,-13.012,-33.855
341,-13.017,-34.25
342,-13.04,-34.635
343,-13.082,-35.029
344,-13.133,-35.422
345,-13.186,-35.816
346,-13.239,-36.205
347,-13.277,-36.592
348,-13.309,-36.987
349,-13.338,-37.38
350,-13.352,-37.777
351,-13.364,-38.172
352,-13.384,-38.563
353,-13.413,-38.951
354,-13.447,-39.341
355,-13.521,-39.729
356,-13.597,-40.086
357,-13.636,-40.399
358,-13.625,-40.747
359,-13.546,-41.109
360,-13.394,-41.437
361,-13.224,-41.637
362,-13.094,-41.757
363,-12.934,-41.889
364,-12.774,-42.004
365,-12.668,-42.055
366,-12.568,-42.104
367,-12.468,-42.15
368,-12.339,-42.206
369,-12.124,-42.211
370,-11.848,-42.172
371,-11.597,-42.184
372,-11.31,-42.222
