,x,y
0,0.46,-1.286
1,0.325,-1.303
2,-0.417,6.017
3,3.076,4.844
4,5.324,-4.106
5,7.982,6.233
6,5.648,-3.717
7,3.802,4.752
8,13.672,-3.917
9,-0.441,5.851
10,-0.117,-1.454
11,28.616,7.033
12,8.339,5.583
13,9.37,4.998
14,0.337,-1.294
15,-0.41,6.0
16,3.09,4.822
17,5.343,-3.774
18,7.953,5.86
19,13.671,-3.931
20,-0.119,-1.458
21,0.492,-1.268
22,10.142,-2.247
23,-0.311,-4.424
24,0.279,-5.959
25,0.342,-1.292
26,-0.517,5.978
27,5.34,-3.772
28,13.693,-3.923
29,-0.127,-1.467
30,10.113,-2.272
31,-0.363,-4.407
32,0.124,-5.985
33,0.438,-1.279
34,-0.409,5.993
35,5.34,-3.772
36,13.663,-3.944
37,-0.126,-1.455
38,10.142,-2.257
39,-0.369,-4.422
40,8.007,5.826
41,0.168,8.063
42,3.099,4.837
43,0.329,-1.307
44,-0.415,5.993
45,5.343,-3.759
46,13.697,-3.909
47,-0.116,-1.458
48,-0.342,-4.415
49,8.193,5.545
50,0.495,-1.275
51,28.424,7.288
52,0.251,-5.993
53,0.457,-1.277
54,-0.472,6.021
55,5.341,-3.765
56,13.676,-3.903
57,-0.127,-1.585
58,-0.348,-4.43
59,0.43,-5.985
60,3.083,4.855
61,26.699,0.614
62,0.438,-1.276
63,-0.416,6.003
64,5.237,-3.924
65,13.655,-3.926
66,-0.119,-1.458
67,-0.346,-4.414
68,0.364,-5.988
69,3.261,4.748
70,28.566,6.689
71,8.119,5.627
72,10.14,-2.236
73,0.5,-1.268
74,-0.416,6.006
75,5.312,-3.737
76,13.662,-3.913
77,-0.116,-1.457
78,-0.33,-4.429
79,0.029,-6.0
80,3.255,4.75
81,8.144,5.62
82,0.443,-1.28
83,-0.41,6.01
84,5.234,-3.922
85,13.67,-3.901
86,-0.121,-1.447
87,-0.369,-4.42
88,3.052,4.881
89,8.189,5.531
90,0.292,-1.304
91,10.137,-2.246
92,24.661,0.05
93,0.498,-1.262
94,-0.416,6.003
95,5.338,-3.755
96,-0.125,-1.48
97,-0.321,-4.434
98,3.155,4.818
99,8.135,5.626
100,0.291,-1.303
101,10.136,-2.256
102,23.794,0.048
103,0.437,-1.282
104,-0.404,6.01
105,5.34,-3.765
106,-0.107,-1.451
107,-0.35,-4.406
108,3.057,4.878
109,8.13,5.61
110,0.101,-5.985
111,13.68,-3.904
112,0.444,-1.282
113,-0.41,5.996
