,x,y
0,-21,-8
1,-21,-5
2,-21,-2
3,-20,-20
4,-20,-7
5,-20,-4
6,-20,-1
7,-19,-18
8,-19,-16
9,-19,-15
10,-19,-13
11,-19,-12
12,-19,-10
13,-19,-9
14,-19,-7
15,-19,-6
16,-19,-4
17,-19,-3
18,-19,-1
19,-19,0
20,-19,2
21,-19,3
22,-18,-33
23,-18,-32
24,-18,-30
25,-18,-29
26,-18,-28
27,-18,-27
28,-18,-26
29,-18,-25
30,-18,-23
31,-18,-22
32,-18,-20
33,-18,-19
34,-18,-17
35,-18,-16
36,-18,-15
37,-18,-14
38,-18,-13
39,-18,-12
40,-18,-11
41,-18,-10
42,-18,-9
43,-18,-8
44,-18,-7
45,-18,-6
46,-18,-5
47,-18,-4
48,-18,-3
49,-18,-2
50,-18,0
51,-18,1
52,-18,3
53,-17,-20
54,-17,-18
55,-17,-15
56,-17,-12
57,-17,-11
58,-17,-9
59,-17,-7
60,-17,-6
61,-17,-5
62,-17,-4
63,-17,-3
64,-17,-2
65,-17,-1
66,-17,0
67,-17,1
68,-17,2
69,-17,3
70,-17,4
71,-17,6
72,-16,-30
73,-16,-27
74,-16,-21
75,-16,-18
76,-16,-16
77,-16,-15
78,-16,-13
79,-16,-12
80,-16,-10
81,-16,-9
82,-16,-7
83,-16,-6
84,-16,-4
85,-16,-3
86,-16,-1
87,-16,0
88,-16,2
89,-16,3
90,-16,4
91,-16,6
92,-16,9
93,-15,-27
94,-15,-26
95,-15,-25
96,-15,-24
97,-15,-23
98,-15,-22
99,-15,-21
100,-15,-20
101,-15,-19
102,-15,-18
103,-15,-17
104,-15,-16
105,-15,-15
106,-15,-14
107,-15,-13
108,-15,-12
109,-15,-11
110,-15,-10
111,-15,-9
112,-15,-8
113,-15,-6
114,-15,-5
115,-15,-3
116,-15,-2
117,-15,0
118,-15,1
119,-15,3
120,-15,4
121,-15,6
122,-14,-20
123,-14,-18
124,-14,-17
125,-14,-16
126,-14,-15
127,-14,-14
128,-14,-13
129,-14,-12
130,-14,-9
131,-14,-8
132,-14,-6
133,-14,-5
134,-14,-4
135,-14,-3
136,-14,-2
137,-14,-1
138,-14,0
139,-14,1
140,-14,2
141,-14,3
142,-14,4
143,-14,5
144,-14,6
145,-14,7
146,-14,8
147,-14,9
148,-13,-24
149,-13,-21
150,-13,-18
151,-13,-15
152,-13,-13
153,-13,-12
154,-13,-4
155,-13,1
156,-13,4
157,-13,7
158,-12,-24
159,-12,-21
160,-12,-20
161,-12,-19
162,-12,-18
163,-12,-17
164,-12,-16
165,-12,-15
166,-12,-14
167,-12,-13
168,-12,-12
169,-12,-7
170,-12,-3
171,-12,0
172,-12,3
173,-11,-22
174,-11,-20
175,-11,-19
176,-11,-18
177,-11,-17
178,-11,-16
179,-11,-15
180,-11,-14
181,-11,-10
182,-11,-9
183,-11,-8
184,-11,-7
185,-11,-6
186,-11,-5
187,-11,-4
188,-11,-3
189,-11,-2
190,-11,-1
191,-11,0
192,-11,1
193,-11,2
194,-11,3
195,-11,4
196,-11,5
197,-11,6
198,-11,7
199,-11,8
200,-11,9
201,-10,-24
202,-10,-21
203,-10,-18
204,-10,-15
205,-10,-6
206,-10,-5
207,-10,-4
208,-10,-3
209,-10,-2
210,-10,-1
211,-10,0
212,-10,2
213,-10,3
214,-10,5
215,-10,6
216,-9,-20
217,-9,-18
218,-9,-15
219,-9,-4
220,-9,-3
221,-9,-1
222,-9,0
223,-8,-23
224,-8,-22
225,-8,-21
226,-8,-20
227,-8,-19
228,-8,-18
229,-8,-17
230,-8,-16
231,-8,-4
232,-8,-3
233,-8,-2
234,-8,-1
235,-8,0
236,-8,1
237,-8,2
238,-8,3
239,-8,4
240,-8,5
241,-8,6
242,-7,-2
243,-7,-1
244,-7,0
245,-7,1
246,-7,2
247,-7,3
248,-7,4
249,-6,-20
250,-6,-17
251,-6,0
252,-6,2
253,-6,3
254,-5,-20
255,-5,-17
256,-5,-2
257,-5,-1
258,-5,0
259,-5,1
260,-5,2
261,-5,3
262,-5,4
263,-5,6
264,-4,-4
265,-4,-3
266,-4,-1
267,-4,0
268,-4,1
269,-4,2
270,-4,3
271,-4,4
272,-3,-20
273,-3,-3
274,-3,0
275,-3,3
276,-2,-20
277,-2,-16
278,-2,0
279,-2,1
280,-2,2
